Source,Project ID,Project Name,Category,Description,Homepage URL,PMC,Podling,Start Date,Status
projects,accumulo,Apache Accumulo,big-data,"The Apache Accumulo sorted, distributed key/value store is
      based on Google's BigTable design. It is built on top of Apache Hadoop,
      Apache Zookeeper, and Apache Thrift. It features a few novel improvements
      on the BigTable design in the form of cell-level access labels and a
      server-side programming mechanism that can modify key/value pairs at
      various points in the data management process.",https://accumulo.apache.org,accumulo,False,2012-03-26,Unknown
projects,activemq,Apache ActiveMQ,"network-server, network-client",ActiveMQ is a fast and powerful Message Broker which supports many Cross Language Clients and Protocols and many advanced features while fully supporting JMS 1.1 and J2EE 1.4.,http://activemq.apache.org/,activemq,False,2006-03-27,Unknown
projects,age,Apache AGE,database,"The goal of Apache AGE™ is to provide graph data processing and analytics capability to all relational databases.

Through Apache AGE, PostgreSQL users will gain access to graph query modeling within the existing relational database.
",https://age.apache.org/,age,False,2023-02-15,Unknown
projects,airavata,Apache Airavata,"network-server, cloud, big-data","Apache Airavata is a micro-service architecture based software framework for
            executing and managing computational jobs and workflows on distributed computing
            resources including local clusters, supercomputers, national grids, academic and
            commercial clouds. Airavata is dominantly used to build Web-based science gateways and
            assist to compose, manage, execute, and monitor large scale applications (wrapped as Web
            services) and workflows composed of these services.",http://airavata.apache.org,airavata,False,2011-05-07,Unknown
projects,airflow,Apache Airflow,big-data,"The mission of Apache Airflow is the creation and maintenance of software
related to workflow automation and scheduling that can be used to author and
manage data pipelines.
",https://airflow.apache.org,airflow,False,2023-09-04,Unknown
projects,allura,Apache Allura,content,"Apache Allura is an open source implementation of a software ""forge"", a web site that manages source code repositories, bug reports, discussions, wiki pages, blogs and more for any number of individual projects.",http://allura.apache.org,allura,False,2014-06-13,Unknown
projects,ambari,Apache Ambari,big-data,"Apache Ambari makes Hadoop cluster provisioning, managing, and monitoring dead simple.",http://ambari.apache.org,ambari,False,2014-04-10,Unknown
projects,ant,Apache Ant,build-management,Apache Ant is a Java-based build tool.,http://ant.apache.org,ant,False,2006-02-17,Unknown
projects,ant-antunit,Apache AntUnit,"build-management, testing","The Ant Library provides Ant tasks for testing Ant
      task, it can also be used to drive functional and integration tests
      of arbitrary applications with Ant.",http://ant.apache.org/antlibs/antunit/,ant,False,2006-09-13,Unknown
projects,ant-compress,Apache Compress Ant Library,build-management,"This is a library of Ant tasks and types uses Apache
      Commons Compress to support additional archive formats like ar,
      pack200, xz and cpio.",http://ant.apache.org/antlibs/compress/,ant,False,2009-07-31,Unknown
projects,ant-dotnet,Apache .NET Ant Library,build-management,"This is a library of Ant tasks that help developing
.NET software.  It includes the ""old"" .NET tasks like a C# compiler task but also comes with support for NUnit testing or running the popular NAnt or MSBuild build tools.",http://ant.apache.org/antlibs/dotnet/,ant,False,2006-09-13,Unknown
projects,ant-ivy,Apache Ivy,build-management,"Apache Ivy is a very powerful dependency manager oriented toward Java dependency management, even though it could be used to manage dependencies of any kind.",http://ant.apache.org/ivy/,ant,False,2010-11-16,Unknown
projects,ant-ivyde,Apache IvyDE,build-management,"The now retired IvyDE lets you manage your dependencies declared in an ivy.xml in your Java Eclipse projects. IvyDE will contribute to the classpath of your Java project, with the classpath container. It also bring an editor of ivy.xml files, with completion.",http://ant.apache.org/ivyde/,ant,False,2010-11-16,Unknown
projects,ant-props,Apache Props Ant Library,build-management,"The Apache Props Antlib is a library of supplementary handlers for Apache Ant properties resolution.

The types provided are instances of org.apache.tools.ant.PropertyHelper.Delegate and can be invoked using the <propertyhelper> task provided in Ant 1.8.0.",http://ant.apache.org/antlibs/props/,ant,False,2009-07-31,Unknown
projects,ant-vss,Apache VSS Ant Library,build-management,The Apache VSS Antlib provides an interface to the Microsoft Visual SourceSafe SCM. The original Ant tasks have been expanded upon in this Antlib. Some fixes to issues in the original tasks have also been incorporated.,http://ant.apache.org/antlibs/proper.html,ant,False,2009-07-31,Unknown
projects,apr-portable_runtime,Apache Portable Runtime,library,"
The mission of the Apache Portable Runtime (APR) project is to create
and maintain software libraries that provide a predictable and
consistent interface to underlying platform-specific implementations.
The primary goal is to provide an API to which software developers may
code and be assured of predictable if not identical behaviour
regardless of the platform on which their software is built, relieving
them of the need to code special-case conditions to work around or
take advantage of platform-specific deficiencies or features.
    ",https://apr.apache.org/,apr,False,Unknown,Unknown
projects,aries,Apache Aries,library,"The Aries project is delivering a set of pluggable Java components enabling an enterprise OSGi application programming model. This includes implementations and extensions of application-focused specifications defined by the OSGi Alliance Enterprise Expert Group (EEG) and an assembly format for multi-bundle applications, for deployment to a variety of OSGi based runtimes.",https://aries.apache.org/,aries,False,2010-04-30,Unknown
projects,arrow,Apache Arrow,"big-data, database, data-engineering, library, network-client, network-server","Apache Arrow defines a language-independent columnar memory format for flat and nested data, organized for efficient analytic operations on modern hardware like CPUs and GPUs. The Arrow memory format also supports zero-copy reads for lightning-fast data access without serialization overhead.

Arrow's libraries implement the format and provide building blocks for a range of use cases, including high performance analytics. Many popular projects use Arrow to ship columnar data efficiently or as the basis for analytic engines.

Libraries are available for C, C++, C#, Go, Java, JavaScript, Julia, MATLAB, Python, R, Ruby, and Rust.

Apache Arrow is software created by and for the developer community. We are dedicated to open, kind communication and consensus decision making. Our committers come from a range of organizations and backgrounds, and we welcome all to participate with us.",https://arrow.apache.org,arrow,False,2016-02-17,Unknown
projects,attic-any23,Apache Any23,"retired, content","Apache Any23 is used in major Web of Data applications. It is written in Java and licensed under the Apache License v2.0. Apache Any23 can be used in various ways:
* As a library in Java applications that consume structured data from the Web.
* As a command-line tool for extracting and converting between the supported formats.
* As online service API available at any23.org.",http://any23.apache.org,attic,False,2012-05-31,Unknown
