fork_name,fork_date,fork_repo,fork_lic,fork_owner,from_name,from_repo,from_lic,from_owner,category,notes
MariaDB,2009-10-29,https://github.com/MariaDB/server,GPL-2.0,MariaDB Foundation,MySQL,https://github.com/mysql/mysql-server ,GPL-2.0,Oracle,acquisition,Fork was shortly after Oracle acquired Sun. Many of the original MySQL core developers wanted to ensure that the code base would remain open. 
LibreOffice,2010-09-28,https://github.com/LibreOffice/core,GPL-3.0,The Document Foundation,OpenOffice,https://svn.apache.org/repos/asf/openoffice,LGPL-2.1,Oracle,acquisition,Fork was shortly after Oracle acquired Sun when Oracle pulled most of the developers off of OpenOffice.
OpenSearch,2021-04-12,https://github.com/opensearch-project/OpenSearch ,Apache-2.0,AWS,Elasticsearch,https://github.com/elastic/elasticsearch/,Apache-2.0,Elastic,relicense,Fork happened when Elastic relicensed to SSPL-1.0 + Elastic License
OpenSearch Dashboard,2021-04-12,https://github.com/opensearch-project/OpenSearch-Dashboards,Apache-2.0,AWS,Kibana,https://github.com/elastic/kibana,Apache-2.0,Elastic,relicense,Fork happened when Elastic relicensed to SSPL-1.0 + Elastic License
Mimir,2022-03-30,https://github.com/grafana/mimir,AGPL-3.0,Grafana,Cortex,https://github.com/cortexproject/cortex,Apache-2.0,CNCF,feature,"Grafana was driving most of the development on Cortex and had features they wanted to add, but not under Apache. They pitched it as a strategic decision, but it was also effectively a relicense. "
OpenTofu,2023-09-05,https://github.com/opentofu/opentofu,MPL-2.0,Linux Foundation,Terraform,https://github.com/hashicorp/terraform,MPL-2.0,HashiCorp,relicense,Fork happened when HashiCorp switched from an open source license to the Business Source License (BSL)
OpenBao,2023-12-08,https://github.com/openbao/openbao,MPL-2.0,Linux Foundation,Vault,https://github.com/hashicorp/vault,MPL-2.0,HashiCorp,relicense,Fork happened when HashiCorp switched from an open source license to the Business Source License (BSL)
Valkey,2024-03-28,https://github.com/valkey-io/valkey,BSD-3-clause,Linux Foundation,Redis,https://github.com/redis/redis,BSD-3-clause,Redis,relicense,Forked when Redis moved to be dual-licensed under the RSALv2 and SSPLv1.
egcs,1997-08-15,https://github.com/gcc-mirror/gcc ,GPL,Cygnus,gcc,https://github.com/gcc-mirror/gcc ,GPL-2.0,Free Software Foundation,feature,Community members became frustrated that their changes were not being merged into gcc and forked it into egcs. FSF made egcs the official version of gcc and in July 1999 the two projects were united again.
Adempiere,2006-10-12,https://github.com/adempiere/adempiere,GPL-2.0,ADempiere Community,Compiere,https://www.compiere.com/svn/,GPL-2.0,Compiere,feature,Community members became frustrated that their changes were not being merged into Compiere. Compiere the company failed and Adempiere is still running
Jenkins,2011-02-02,https://github.com/jenkinsci/jenkins,MIT,Linux Foundation CD Foundation,Hudson,,MIT,Oracle,acquisition,Fork was shortly after Oracle acquired Sun. Original creator forked it into Jenkins. Hudson was donated to eclipse in 2012 and final release in 2016.
io.js,2014-12-01,https://github.com/nodejs/node,MIT,Node Forward,Node.js,https://github.com/nodejs/node ,MIT,Joyent,feature,Forked to allow for more community input. This fork lasted only 12 months or so before the communities knitted the forks back together again under the newly formed Node.js Foundation
NextCloud,2016-04-22,https://github.com/nextcloud/server ,AGPL-3.0,Nextcloud GmbH,ownCloud,https://github.com/owncloud/core,AGPL-3.0,ownCloud,feature,"NextCloud forked from ownCloud by its founder Frank Karlitsheck due to concerns about management and priorities between growth, money, and sustainability."
