Company,Confidence,Primary Category,Subcategory,Reasoning,Source
01.AI,60%,Core COSS Companies,Open-Core Product Companies,01.AI develops and releases open-source AI models (e.g.  Yi series) while operating as a product company that can monetize via proprietary enhancements  commercial licensing  and enterprise offerings around the core IP they control. This aligns best with an open-core pattern rather than distribution/consulting or purely hosting third-party OSS  though public details on the exact revenue mix are limited.,OSS Capital
1inch Labs,64%,Adjacent Software and Technology Companies,Integration & Middleware Providers,1inch Labs develops DeFi aggregation and routing technology that integrates liquidity sources and enables interoperability across decentralized exchanges  functioning more like middleware than a company monetizing an open-source software product. While it maintains code and smart contracts that may be open-sourced  its primary business is operating and evolving a DeFi protocol/network rather than selling OSS distributions  support  or managed OSS services. This fits best as an adjacent technology provider that enables integration across ecosystems rather than a Core COSS company.,Serena
1VD,33%,Adjacent Software and Technology Companies,Integration & Middleware Providers,“1VD” is not a widely recognized brand in the COSS ecosystem  and without clear evidence that it develops/monetizes a specific open source product  provides OSS distributions/managed OSS  or operates as a foundation/funder  the safest placement is in the adjacent layer. The name is consistent with a vendor that could provide supporting software (e.g.  integration or middleware) around OSS rather than being defined by an OSS product itself. If you can share what 1VD sells (product URL or short description)  I can reclassify with higher confidence.,Serena
3D Slicer,62%,Community and Collaboration Facilitators,Open Source Foundations & Governance Bodies,3D Slicer is an open-source medical image computing platform primarily developed and maintained as a community/academic-led project rather than a commercial company monetizing the software. It is not chiefly a cloud/infrastructure provider or an adjacent tooling vendor; its role is closer to stewardship and coordination of an OSS project ecosystem. While there are service providers around it  the “3D Slicer” entity itself is best classified as a community-governed open-source initiative.,Serena
47 Degrees,78%,Core COSS Companies,Open Source Service & Consulting Specialists,47 Degrees is primarily known as a software consulting/services firm focused on building and integrating solutions using open source technologies rather than monetizing a proprietary open-core product or operating a managed OSS cloud service. Their value proposition centers on engineering services  implementation  and expertise to help customers adopt and deliver systems built on OSS.,Serena
49th Parallel Coffee Roasters,55%,Enterprise Adopters and Contributors,Enterprise End-Users and Contributors,49th Parallel Coffee Roasters is primarily a consumer/retail coffee business  not a company whose main revenue comes from developing  distributing  or monetizing open source software. If it uses open source tools internally (e.g.  for e-commerce  POS  analytics) it would fit best as an end-user rather than a COSS producer  but there’s no clear evidence it is a notable OSS contributor  so confidence is moderate.,Serena
2600Hz,76%,Core COSS Companies,Open-Core Product Companies,2600Hz is best known for Kazoo  an open-source communications/telephony platform (CPaaS/PBX) that the company develops and controls  and it monetizes primarily through commercial offerings such as hosted/managed service  support  and related proprietary/commercial capabilities. This aligns most closely with an Open-Core Product Company where an OSS core is used to drive paid subscriptions/services around the vendor-controlled product.,Serena
418SEC,55%,Adjacent Software and Technology Companies,Security and Compliance Tools,418SEC appears to be a security-focused vendor  which aligns best with companies that provide tools/services to secure software and OSS usage rather than monetizing an OSS product itself. There’s insufficient evidence that their primary business is developing and selling a specific open source core or distribution  so the “security and compliance tools” adjacent category is the closest fit given the taxonomy.,Serena
A la Mobile,35%,Core COSS Companies,Open Source Service & Consulting Specialists,A la Mobile appears to be primarily a mobile app development/services company rather than a company defined by a specific open-source product or distribution. In the COSS taxonomy  the closest fit is a services/consulting specialist  but there isn’t clear evidence that open source software is central to its monetization model  so confidence is low.,Serena
Aarna Networks,64%,Core COSS Companies,Open Source Service & Consulting Specialists,Aarna Networks positions itself primarily as a provider of engineering  integration  and consulting services around cloud-native and open-source networking (e.g.  Kubernetes  edge/5G  and related OSS stacks)  rather than monetizing a single proprietary product built on an OSS core. This aligns best with a services-led COSS model where revenue is driven by implementation  customization  and support for open-source technologies.,Serena
Aave,62%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Aave is primarily a decentralized finance protocol (lending/borrowing) built on public blockchains; it is not primarily a commercial company monetizing an open-source software product via licensing  support  or managed hosting. While its protocol code is publicly available and reused  the “business model” is closer to operating a financial/market protocol than selling OSS  placing it adjacent to the COSS ecosystem as middleware/integration-layer technology rather than a Core COSS company.,Serena
Abcence,15%,Unknown / Insufficient Information,Unknown,I don’t have enough reliable information to identify which “Abcence” you mean or what its primary business model is  so I can’t map it to the COSS taxonomy without risking misclassification. If you share a website URL  a one-line description of what Abcence sells/does  and whether it develops or monetizes any open source software  I can classify it accurately.,Serena
Abiquo Group,58%,Core COSS Companies,Open-Core Product Companies,Abiquo is primarily known for its cloud management platform and has distributed an open-source “Abiquo Community Edition” alongside commercially licensed enterprise editions  indicating an open-core style model (open core with proprietary enterprise features/support). Its revenue appears to be driven mainly by selling/supporting the Abiquo software rather than acting as a general infrastructure provider or a pure services firm.,Serena
Academy Software Foundation,93%,Community and Collaboration Facilitators,Open Source Foundations & Governance Bodies,The Academy Software Foundation is a nonprofit open source foundation that provides governance  stewardship  and community support for a portfolio of open source projects used in film/visual effects/animation. Its primary role is ecosystem health (project hosting  coordination  standards/community building) rather than monetizing an OSS product or selling infrastructure/services.,Serena
Achieve Internet,62%,Core COSS Companies,Open Source Service & Consulting Specialists,Achieve Internet appears to operate primarily as a services firm focused on building  integrating  and supporting solutions (commonly around open-source platforms like Drupal/WordPress)  which aligns with revenue driven by consulting and implementation rather than selling a proprietary OSS product. There is no clear indication that it controls and monetizes an open-core product or provides a managed cloud service for a specific OSS technology  making the consulting specialist classification the best fit given available information.,Serena
Acquia,84%,Core COSS Companies,Open-Core Product Companies,Acquia’s business is centered on commercializing and supporting the open-source Drupal ecosystem  offering a proprietary digital experience platform and related paid features/services built around an open-source core. It monetizes through subscriptions and enterprise offerings while maintaining strong alignment with Drupal’s open-source foundation  which fits the open-core product company model more than pure consulting or generic infrastructure.,Serena
Acryl Data,77%,Core COSS Companies,Open-Core Product Companies,Acryl Data commercializes DataHub  an open-source metadata platform originally created at LinkedIn  by offering an enterprise product with proprietary features and paid support around that OSS core. This aligns with an open-core model where the company develops and stewards the core project while monetizing enterprise extensions and services.,OSS Capital
ActiveEon,74%,Core COSS Companies,Open Source Service & Consulting Specialists,ActiveEon is best known for developing and supporting the open-source ProActive middleware/workflow & scheduling technology and commercializing it via enterprise support  services  and integration rather than primarily selling a general-purpose platform. This aligns most closely with a services/consulting-driven COSS model built around OSS they develop and maintain  rather than a cloud-hosted managed service or an OSS distribution business.,Serena
Activeloop,62%,Core COSS Companies,Open-Core Product Companies,Activeloop develops and monetizes a data management/product layer used in AI/ML workflows (notably its Deep Lake offering) where an open-source core is promoted alongside commercial/hosted capabilities. This fits an open-core pattern where the company controls the product/IP and sells proprietary features/services around it rather than primarily packaging third-party OSS or offering generic infrastructure.,OSS Capital
Activepieces,72%,Core COSS Companies,Open-Core Product Companies,Activepieces is an automation/workflow product with an open-source core that the company develops and controls  making the software itself central to its business model. It is commonly monetized via hosted offerings and/or paid tiers/features around that core  which aligns best with an open-core product company rather than a general infrastructure provider or services-only specialist.,Serena
ActiveState,78%,Core COSS Companies,Open Source Distribution Companies,ActiveState’s primary business centers on packaging  securing  and supporting open source language runtimes and dependencies (notably Python and Perl) for enterprise use  monetizing via subscriptions and managed builds rather than proprietary feature add-ons to a single OSS core they control. This aligns most closely with an open source distribution model—providing curated distributions and ongoing maintenance/support around OSS developed by the broader community.,OSS Capital
Adaptive ML,46%,Adjacent Software and Technology Companies,Monitoring and Observability Providers,Adaptive ML appears to be a commercial software company focused on operationalizing and monitoring machine learning models (ML observability)  which is adjacent to open source rather than a company monetizing a specific open-source core or distributing/hosting an OSS project. With limited public context tying its primary revenue to an OSS product  the best fit is an adjacent tooling provider that supports production systems (including OSS stacks) via monitoring/quality/ops capabilities.,OSS Capital
Aenix,15%,Unknown / Insufficient Information,Unclassified,I don’t have enough reliable information about “Aenix” (business model  products/services  and whether it develops/monetizes open source software) to map it to a specific COSS taxonomy category. If you share a website link or a short description of what Aenix sells and how it makes revenue (software licenses  managed hosting  consulting  tooling  investing  etc.)  I can classify it precisely.,Serena
AESIRX.IO LTD,34%,Adjacent Software and Technology Companies,Security and Compliance Tools,Publicly available information about AESIRX.IO LTD’s core business model and whether it develops/monetizes an open source product is insufficient  so a definitive COSS taxonomy placement is uncertain. Based on the “.io” software orientation and the most common COSS-adjacent positioning for smaller vendors  the best-fit tentative classification is an adjacent security/compliance tooling provider rather than a core OSS product company or foundation. If AESIRX.IO LTD primarily sells hosted OSS  distributes OSS  or monetizes an open-core project it controls  the category would change accordingly.,Serena
Affogata,32%,Adjacent Software and Technology Companies,Monitoring and Observability Providers,Publicly available information about Affogata is insufficient to verify whether its primary business is building/monetizing an open-source product (Core COSS) or providing infrastructure/services around OSS. Based on the limited signals available  it appears more likely to be a software vendor offering supporting capabilities rather than stewarding a specific open-source project  which best fits an adjacent tooling role. This classification is low-confidence and should be revisited with details on Affogata’s product  licensing  and revenue model.,Serena
Agenta,60%,Ecosystem Infrastructure Providers (Catalysts),Development & CI/CD Tool Providers,Agenta appears to be a tooling/platform company aimed at supporting software development workflows (rather than monetizing a specific open-source product as its core business). This maps best to infrastructure/tooling that enables adoption and iteration around OSS-based stacks  fitting the “Development & CI/CD Tool Providers” subcategory. Confidence is moderate because “Agenta” is ambiguous without additional context on whether it primarily sells an OSS product  a hosted OSS service  or proprietary developer tooling.,Serena
Aghreni Technologies,34%,Adjacent Software and Technology Companies,Integration & Middleware Providers,Publicly available information is insufficient to confirm that Aghreni Technologies’ primary business model is developing/monetizing a specific open source product (Core COSS) or operating OSS infrastructure/tooling as a primary offering (Catalyst). The name and typical market positioning of similarly named firms suggest a services/technology provider likely focused on building/integrating software solutions around existing platforms  which aligns best with an adjacent integration/middleware role  but this remains low-confidence without verified revenue/product details.,Serena
Agile Stacks,62%,Core COSS Companies,Open Source Service & Consulting Specialists,Agile Stacks is primarily positioned around helping organizations adopt and operate open-source/cloud-native stacks (e.g.  Kubernetes/DevOps platforms) through implementation  integration  and related professional services rather than monetizing a single proprietary open-core product. This aligns best with a services-and-consulting-led model focused on deploying and supporting OSS in customer environments.,Serena
AgileSource,56%,Core COSS Companies,Open Source Service & Consulting Specialists,Based on the name and typical positioning implied  AgileSource most plausibly operates as a services-led firm providing implementation  integration  and consulting around open source stacks rather than monetizing a proprietary open-core product. There isn’t enough evidence here to assert they control an OSS product IP or run a managed cloud service  so the best-fit classification is an OSS-focused services/consulting specialist with moderate confidence.,Serena
Ahana,74%,Core COSS Companies,Managed Open Source (Cloud) Providers,Ahana’s business centered on offering a managed/hosted analytics service built around the open source Presto/Trino ecosystem rather than selling proprietary extensions of an OSS core it controls. Its monetization aligns most closely with providing cloud-managed operations  performance  and support for an OSS technology  fitting the Managed Open Source (Cloud) Providers definition.,OSS Capital
Airbyte,86%,Core COSS Companies,Open-Core Product Companies,Airbyte’s primary business centers on an open-source data integration/ELT platform that it develops and commercializes. It monetizes the OSS core via a commercial offering (e.g.  proprietary/enterprise features and/or a managed cloud service) while controlling the core project’s direction  which aligns best with the open-core product company definition.,Both
Airy,54%,Core COSS Companies,Open-Core Product Companies,Airy is best classified as a product company centered on an open-source core (commonly positioned around “Airy Core”) with commercialization typically coming from added proprietary features  enterprise capabilities  or hosted/managed offerings. This fits the open-core pattern where the company controls the core project direction/IP and monetizes surrounding premium functionality rather than primarily packaging third-party OSS or offering pure consulting.,Serena
AISE.ai,46%,Adjacent Software and Technology Companies,Integration & Middleware Providers,AISE.ai appears to be a software company providing AI/automation capabilities that sit alongside existing systems rather than monetizing a specific open source project as the core product. There isn’t clear evidence that its primary business model is distributing/supporting an OSS project it controls (Core COSS) or running a managed service for a well-known external OSS technology (Managed Open Source Provider). Given limited public signals about an OSS-centric revenue model  it fits best as an adjacent technology vendor  with the closest match being integration/middleware-like enablement.,Serena
Aiven,95%,Core COSS Companies,Managed Open Source (Cloud) Providers,Aiven’s primary business is operating managed cloud services for widely used open source data infrastructure (e.g.  PostgreSQL  Kafka  Redis  OpenSearch) rather than selling proprietary software licenses. It monetizes by hosting  operating  and supporting these OSS technologies as a service across cloud providers  matching the “Managed Open Source (Cloud) Providers” definition.,Both
AKA LLC,28%,Adjacent Software and Technology Companies,Integration & Middleware Providers,“AKA LLC” is ambiguous and commonly corresponds to multiple unrelated entities  with no clear evidence from the provided input that it primarily develops/monetizes an open source product  runs OSS infrastructure  or functions as a foundation/funder. In the absence of confirming details  the closest fit in the taxonomy is an adjacent technology/services firm (often structured as an LLC) providing integration or implementation work around existing technologies rather than being defined by a specific OSS product. If you can share the company’s website  product name(s)  or a one-line description  I can reclassify with high confidence.,Serena
Akaunting,72%,Core COSS Companies,Open-Core Product Companies,Akaunting develops and distributes an open-source accounting/ERP product as its core offering  and its business is centered on monetizing that software through paid add-ons  apps  and related commercial offerings. This aligns with an open-core model where the company controls the core project and generates revenue from proprietary extensions and premium functionality rather than merely packaging someone else’s OSS or providing generic infrastructure.,Serena
