project,description,homepage,name,pmc,podling,started
amoro,Amoro is a Lakehouse management system built on open data lake formats like Apache Iceberg and Apache Paimon.,http://amoro.incubator.apache.org/,Apache Amoro (Incubating),incubator,True,2024-03
annotator,"Annotator provides annotation enabling code for browsers, servers, and humans.",http://annotator.incubator.apache.org/,Apache Annotator (Incubating),incubator,True,2016-08
baremaps,"Apache Baremaps is a toolkit and a set of infrastructure components for creating, publishing, and operating online maps.",http://baremaps.incubator.apache.org/,Apache Baremaps (Incubating),incubator,True,2022-10
cloudberry,"
		Cloudberry Database, built on the latest PostgreSQL kernel, is one of the most advanced and mature open-source MPP (Massively Parallel Processing) databases available.
        ",http://cloudberry.incubator.apache.org/,Apache Cloudberry (Incubating),incubator,True,2024-10
devlake,"DevLake is a development data platform, providing the data infrastructure for developer teams to analyze and improve their engineering productivity.",http://devlake.incubator.apache.org/,Apache DevLake (Incubating),incubator,True,2022-04
fury,A blazing fast multi-language serialization framework powered by jit and zero-copy,http://fury.incubator.apache.org/,Apache Fury (Incubating),incubator,True,2023-12
gluten,Gluten is a middle layer responsible for offloading JVM-based SQL engines' execution to native engines.,http://gluten.incubator.apache.org/,Apache Gluten (Incubating),incubator,True,2024-01
grails,A powerful Groovy-based web application framework for the JVM built on top of Spring Boot,http://grails.incubator.apache.org/,Apache Grails (Incubating),incubator,True,2025-01
graphar,GraphAr is an open-source and language-independent data file format designed for efficient graph data storage and retrieval.,http://graphar.incubator.apache.org/,Apache GraphAr (Incubating),incubator,True,2024-03
gravitino,"Gravitino is a high-performance, geo-distributed, and federated metadata like designed to manage metadata seamlessly across diverse data sources, vendors, and regions. Its primary goal is to provide users with unified metadata access for both data and AI assets.",http://gravitino.incubator.apache.org/,Apache Gravitino (Incubating),incubator,True,2024-06
hertzbeat,"HertzBeat is an easy-to-use, open source, real-time monitoring system. It features an agentless architecture, high-performance clustering, Prometheus compatibility, and powerful custom monitoring and status page building capabilities.",http://hertzbeat.incubator.apache.org/,Apache HertzBeat (Incubating),incubator,True,2024-04
horaedb,"HoraeDB is a high-performance, distributed, cloud native time-series database.",http://horaedb.incubator.apache.org/,Apache HoraeDB (Incubating),incubator,True,2023-12
hugegraph,A large-scale and easy-to-use graph database,http://hugegraph.incubator.apache.org/,Apache HugeGraph (Incubating),incubator,True,2022-01
iggy,"Iggy is a high-performance, ultra-low latency and large-scale persistent message streaming platform written in Rust.",http://iggy.incubator.apache.org/,Apache Iggy (Incubating),incubator,True,2025-02
kie,"KIE (Knowledge is Everything) is a community of solutions and supporting tooling for knowledge engineering and process automation, focusing on events, rules, and workflows.",http://kie.incubator.apache.org/,Apache KIE (Incubating),incubator,True,2023-01
livy,"Livy is web service that exposes a REST interface for managing long running Apache Spark contexts in your cluster. With Livy, new applications can be built on top of Apache Spark that require fine grained interaction with many Spark contexts.",http://livy.incubator.apache.org/,Apache Livy (Incubating),incubator,True,2017-06
nemo,Nemo is a data processing system to flexibly control the runtime behaviors of a job to adapt to varying deployment characteristics.,http://nemo.incubator.apache.org/,Apache Nemo (Incubating),incubator,True,2018-02
