project,description,ended,homepage,name,started,status
abdera,An implementation of the Atom Syndication Format and Atom Publishing Protocol.,2008-11,http://abdera.incubator.apache.org/,Apache Abdera (Incubating),2006-06,graduated
accumulo,"Accumulo is a distributed key/value store that provides expressive, cell-level access labels.",2012-03,http://accumulo.incubator.apache.org/,Apache Accumulo (Incubating),2011-09,graduated
ace,A software distribution framework based on OSGi that allows you to manage and distribute artifacts.,2011-12,http://ace.incubator.apache.org/,Apache ACE (Incubating),2009-04,graduated
activemq,A robust and high performance Message Orientated Middleware provider which will be integrated into Apache Geronimo but also be usable from inside any JVM.,2007-02,http://activemq.incubator.apache.org/,Apache ActiveMQ (Incubating),2005-12,graduated
age,AGE is a multi-model database that enables graph and relational models built on PostgreSQL.,2022-05,http://age.incubator.apache.org/,Apache AGE (Incubating),2020-04,graduated
agila,Extensible Business Process Management (BPM) engine core.,2006-12,http://agila.incubator.apache.org/,Apache Agila (Incubating),2004-09,retired
airavata,"A software suite to compose, manage, execute, and monitor large scale applications and workflows on computational resources ranging from local clusters to national grids and computing clouds.",2012-09,http://airavata.incubator.apache.org/,Apache Airavata (Incubating),2011-05,graduated
airflow,Airflow is a workflow automation and scheduling system that can be used to author and manage data pipelines.,2018-12,http://airflow.incubator.apache.org/,Apache Airflow (Incubating),2016-03,graduated
allura,"Forge software for the development of software projects, including source control systems, issue tracking, discussion, wiki, and other software project management tools.",2014-03,http://allura.incubator.apache.org/,Apache Allura (Incubating),2012-06,graduated
alois,ALOIS is a log collection and correlation software with reporting and alarming functionalities.,2011-06,http://alois.incubator.apache.org/,Apache Alois (Incubating),2010-09,retired
altrmi,A transparent Remote Procedure Call bean.,2007-01,http://altrmi.incubator.apache.org/,Apache AltRMI (Incubating),2003-02,retired
amaterasu,Apache Amaterasu is a framework providing continuous deployment for Big Data pipelines.,2019-09,http://amaterasu.incubator.apache.org/,Apache Amaterasu (Incubating),2017-09,retired
ambari,"Ambari is a monitoring, administration and lifecycle management project for Apache Hadoop clusters. (Formerly known as HMS)",2013-11,http://ambari.incubator.apache.org/,Apache Ambari (Incubating),2011-08,graduated
amber,"
            The Amber project will deliver a Java development framework mainly aimed to build OAuth-aware applications.
            Amber graduated with the name Apache Oltu
        ",2013-01,http://amber.incubator.apache.org/,Apache Amber (Incubating),2010-05,graduated
answer,A Q-and-A platform software for teams at any scales.,2024-12,http://answer.incubator.apache.org/,Apache Answer (Incubating),2023-10,graduated
any23,"Anything To Triples (any23) is a library, a web service and a command line tool that extracts structured data in RDF format from a variety of Web documents.",2012-08,http://any23.incubator.apache.org/,Apache Any23 (Incubating),2011-10,graduated
apex,Apex is an enterprise grade native YARN big data-in-motion platform that unifies stream processing as well as batch processing.,2016-04,http://apex.incubator.apache.org/,Apache Apex (Incubating),2015-08,graduated
