name,path,description,homepage_url,project,repo_url,logo,twitter,crunchbase,chat_channel,accepted,dev_stats_url,artwork_url,stack_overflow_url,blog_url,mailing_list_url,slack_url,gitter_url,youtube_url,language
Aeraki Mesh,Service Mesh,Aeraki Mesh allows you to manage any layer-7 traffic in a service mesh,https://www.aeraki.net/,sandbox,https://github.com/aeraki-mesh/aeraki,https://landscape.cncf.io/logos/59c6f1bd9eef9221d44e07e22b383a835d1f0af878803761ee3c3883a8e32112.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2022-06-17,https://aerakimesh.devstats.cncf.io/,,,https://www.aeraki.net/blog/,,https://cloud-native.slack.com/messages/aeraki-mesh,,,Go
Akri,Automation & Configuration,A Kubernetes Resource Interface for the Edge,https://docs.akri.sh,sandbox,https://github.com/project-akri/akri,https://landscape.cncf.io/logos/429e9e900a264b7748ccb5c19e52fd46b729e89776c318f7f04c3db07bb470db.svg,https://twitter.com/ProjectAkri,https://www.crunchbase.com/organization/cloud-native-computing-foundation,#akri,2021-09-14,https://akri.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/sandbox.md#akri-logos,,https://medium.com/akri,,https://kubernetes.slack.com/messages/C01D9L7QE8Z,,,Rust
Antrea,Cloud Native Network,Kubernetes networking based on Open vSwitch,https://antrea.io/,sandbox,https://github.com/antrea-io/antrea,https://landscape.cncf.io/logos/d8528944fdea1aec892cdd2c83cded24a2b7474bd574d12bc14dc4b9da33363c.svg,https://twitter.com/projectantrea,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2021-04-28,,,,,,,,,Go
Argo,Continuous Integration & Delivery,"Kubernetes-native tools to run workflows, manage clusters, and do GitOps right.",https://argoproj.github.io/,graduated,https://github.com/argoproj/argo-cd,https://landscape.cncf.io/logos/ba71fd50cbc06c7bad3554de23cbca4298593141df3842003a94065c209610f4.svg,https://twitter.com/argoproj,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2020-03-26,https://argo.devstats.cncf.io/,https://github.com/cncf/artwork/tree/master/projects/argo,https://stackoverflow.com/questions/tagged/argoproj+or+argo,https://blog.argoproj.io/,,https://argoproj.github.io/community/join-slack,,https://www.youtube.com/channel/UCOvYmppcbOPm1viN6ust3lA,Go
Armada,Scheduling & Orchestration,A multi-cluster batch queuing system for high-throughput workloads on Kubernetes.,https://armadaproject.io/,sandbox,https://github.com/armadaproject/armada,https://landscape.cncf.io/logos/1f12143884500137fdb0944a60ee6bf3bf4fb71ac7ad76adeb75ada1d63c27c2.svg,https://twitter.com/oss_gr,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2022-07-25,https://armada.devstats.cncf.io/,,,,,http://slack.cncf.io/,,,Go
Artifact Hub,Application Definition & Image Build,"Find, install and publish Cloud Native packages",https://artifacthub.io,incubating,https://github.com/artifacthub/hub,https://landscape.cncf.io/logos/07c63442d3e8608cbfe2ef02894d00fc4daf3f66ca4083addb5f62c7ad58cb9e.svg,https://twitter.com/cncfartifacthub,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2020-06-25,https://artifacthub.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/sandbox.md#artifact-hub-logos,,,,,,,TypeScript
Athenz,Key Management,Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic infrastructures,https://www.athenz.io,sandbox,https://github.com/AthenZ/athenz,https://landscape.cncf.io/logos/41cff29df3b272f1ecd9b304e6289454f008885f809bd575ab8591619aff07f8.svg,https://twitter.com/athenzio,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2021-01-26,https://athenz.devstats.cncf.io/,https://github.com/cncf/artwork/tree/master/projects/athenz,,,,https://athenz.slack.com/,,,Java
Atlantis,Automation & Configuration,Terraform Pull Request Automation for Teams,https://www.runatlantis.io/,sandbox,https://github.com/runatlantis/atlantis,https://landscape.cncf.io/logos/6de39e7bb7438d23d45a8e32727f1b082040b38832bb533c747f2ba7c8ce6203.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2024-06-18,,,,,,,,,Go
Backstage,Application Definition & Image Build,Backstage is an open framework for building developer portals,https://backstage.io/,incubating,https://github.com/backstage/backstage,https://landscape.cncf.io/logos/041229aa6e716c8d0beb5752747b4789f42dc3239c245c6cf3af8d5cf651b1ee.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2020-09-08,https://backstage.devstats.cncf.io/,https://github.com/cncf/artwork/tree/master/projects/backstage,,https://backstage.io/blog,,https://discord.gg/backstage-687207715902193673,,,TypeScript
Bank-Vaults,Security & Compliance,"Bank-Vaults is a Vault swiss-army knife: a K8s operator, Go client with automatic token renewal, automatic configuration, multiple unseal options and more. A CLI tool to init, unseal and configure Vault (auth methods, secret engines). Direct secret injection into Pods.",https://bank-vaults.dev/,sandbox,https://github.com/bank-vaults/bank-vaults,https://landscape.cncf.io/logos/97457cc0305276dd071eea4d1a272154cb8fa75b540acc25655eb833ae6dd088.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2024-06-18,https://bankvaults.devstats.cncf.io/,https://github.com/cncf/artwork/blob/main/examples/sandbox.md/#bank-vaults-logos,,,,,,,Go
BFE,Service Proxy,Open-source layer 7 load balancer derived from proprietary Baidu FrontEnd,https://www.bfe-networks.net,sandbox,https://github.com/bfenetworks/bfe,https://landscape.cncf.io/logos/053074ec34daa20c8ff44a7be91dce6116639375f3f48c9b55cfd2d18362a675.svg,https://twitter.com/BfeNetworks,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2020-06-25,https://bfe.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/sandbox.md#bfe-logos,,,,,,,Go
bpfman,Security & Compliance,An eBPF Manager for Linux and Kubernetes,https://bpfman.io/,sandbox,https://github.com/bpfman/bpfman,https://landscape.cncf.io/logos/36cc7c278c13fbec758fb4a37eadf77c23bffac45131103f569678dc38b2eae2.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2024-06-19,,,,https://bpfman.io/main/blog/,,https://kubernetes.slack.com/archives/C04UJBW2553,,,Rust
Brigade,Continuous Integration & Delivery,Event-driven scripting for Kubernetes,https://brigade.sh/,archived,https://github.com/brigadecore/brigade,https://landscape.cncf.io/logos/3b8a7f02adb7f4bd7c860c871419bf83ed2b92bcf5aab9475e34c247e060ffd3.svg,https://twitter.com/brigadecore,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2019-03-18,,https://github.com/cncf/artwork/blob/master/examples/sandbox.md#brigade-logos,,,,https://kubernetes.slack.com/messages/C87MF1RFD,,,Go
Buildpacks,Application Definition & Image Build,CLI for building apps using Cloud Native Buildpacks,https://buildpacks.io/,incubating,https://github.com/buildpacks/pack,https://landscape.cncf.io/logos/90290bef758df2bd10485616a6445e240b903ecbaee96a8cc844d1c3ed6591ba.svg,https://twitter.com/buildpacks_io,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2018-10-03,https://buildpacks.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/sandbox.md#buildpacks-logos,,,,https://slack.cncf.io/,,,Go
Capsule,Scheduling & Orchestration,"Capsule implements a multi-tenant and policy-based environment in your Kubernetes cluster. It is designed as a micro-services-based ecosystem with the minimalist approach, leveraging only on upstream Kubernetes.",https://capsule.clastix.io,sandbox,https://github.com/projectcapsule/capsule,https://landscape.cncf.io/logos/acbee93893f2179ee51ed414b284284cd9f5663afa2e5908043dc130b09461e6.svg,https://twitter.com/clastixio,https://www.crunchbase.com/organization/clastix,#capsule,2022-12-13,https://capsule.devstats.cncf.io/,,,,,https://kubernetes.slack.com/,,,Go
Carina,Cloud Native Storage,Carina: an high performance and ops-free local storage for kubernetes,https://carina-io.github.io/,sandbox,https://github.com/carina-io/carina,https://landscape.cncf.io/logos/a280fd929d8ab8f546c80cadaec8500fce7ea3e6acb3af8ab0f741ad58c3a41a.svg,,https://www.crunchbase.com/organization/cloud-native-computing-foundation,,2022-12-14,https://carina.devstats.cncf.io/,https://github.com/cncf/artwork/blob/master/examples/sandbox.md#carina-logos,,,,,,,Go
